Badge Name,Category,Type,Description,Completion Rules,Requirements
Physical Recreation,Activity Badges,Activity,Have fun and take part in a physical activity and improve both your body and mind.,Complete ALL 5 requirements,"Complete ALL of the following:
1. 1. Regularly take part in an active sport or physical pursuit, which you haven’t already gained an activity badge for.
2. 2. Show a reasonable level of skill in your sport or pursuit.
3. 3. Explain the rules or guidelines that govern the sport or pursuit you chose.
4. 4. Show how you would prepare before taking part in your sport or pursuit.
5. 5. Explain how to care for the equipment you use."
Pioneer,Activity Badges,Activity,"Master your pioneering skills in using ropes, wooden spars and knots. Become a key member of your team as you create amazing structures.",Complete ALL 8 requirements,"Complete ALL of the following:
1. As a member of a group, take part in an indoor pioneering project, like constructing a catapult or chariot
2. As a member of a group, take part in an outdoor pioneering project, like building a monkey bridge, a raft or parallel runway
3. Show the correct way to do a whipping or safe rope sealing
4. Show the correct way to splice a rope
5. Show the correct way to coil and store a rope
6. Show the correct way to use levers to extract objects or move heavy weights
7. Show the correct way to be safe in pioneering projects. Explain why it's important
8. Name and tie at least six knots and three lashings that are useful in pioneering"
Power Coxswain,Activity Badges,Activity,Have fun on the water by mastering the waterways in your chosen boat.,Complete ALL 9 requirements,"Complete ALL of the following:
1. choose and identify the boat you will use
2. choose the waters you will visit
3. identify the features and hazards of this water
4. learn what the rules are for boating on the water you're using
5. wear the proper clothing and make sure you have the correct equipment for your craft
6. Locate the engine and know how to start and stop it safely.
7. Take part in a man overboard drill.
8. Launch and recover your craft (if that’s possible) and come alongside. Moor and berth your craft.
9. Control the speed and direction of your craft to steer around a course or on a journey."
Pulling (Fixed Seat Rowing),Activity Badges,Activity,"Take a stroke, cut through the water, and become a rowing master.",2 from Equipment + 7 from Safety + 4 from Manoeuvres + 2 from Tasks,"Equipment (complete 2):
1. Point out and name the basic parts of a pulling boat
2. Explain the importance of wearing appropriate clothing for various weather conditions

Safety (complete 7):
1. Understand how to safely enter and exit the boat
2. Understand the safety equipment required and how to use it
3. Gain a basic knowledge of the rules of the road for your local waters
4. Understand the difference between a lifejacket and a buoyancy aid, and demonstrate how to wear them correctly
5. From a boat, heave an unweighted line to land within reach of target five metres, within three attempts
6. Learn the actions and safety requirements to take when being towed
7. Know how to respond in an emergency

Manoeuvres (complete 4):
1. Take the boat away from a bank side mooring
2. Row in a straight line for 100 metres
3. Complete a figure-of-eight course
4. Come alongside in your dinghy, to moor at a ring, post, bollard or buoy, using a round turn and two half hitches

Tasks (complete 2):
1. Cull over the stern between two points, 20 metres apart, and turn through 180 degrees
2. Draw stroke over the bow
3. Take a place as an oarsman, including stroke
4. Give boat orders effectively, or listen to boat orders and act on them
5. As bowman, be a lookout and report hazards to the coxswain using standard maritime directions, such as starboard, port quarter and dead ahead"
Quartermaster,Activity Badges,Activity,Keep your scout troop well stocked with supplies by discovering what it takes to be a great quartermaster.,Choose 1 of 2 options,"Choose 1 of the following options:

Assist:
1. Show ability in the listed areas
2. Keep a simple record showing equipment issued and returned.
3. Show you understand that general tidiness is the secret of good quartermastering.

Nights Away:
1. During the experience show you’re capable in at least three areas
2. Keep simple records, showing the equipment issued and returned.
3. Keep a portable first aid kit well stocked and maintained.
4. Choose tools to take to camp, to complete emergency repairs on equipment.
5. Show you understand that general tidiness is the secret of good quartermastering."
Scientist,Activity Badges,Activity,Spark your curiosity and creativity with the Scientist activity badge. Have fun learning some valuable science-based skills.,Choose 1 of 2 options,"Choose 1 of the following options:

Option 1:
1. Explore and discuss the science behind two Scouting activities or hobbies.
2. Complete one of the options. Plan and complete your own experiment to explore the science behind one Scouting activity or hobby. Record your findings and explain what these mean to others.
Try thinking of a question you want to answer or something you want to prove. Plan and run an activity, demonstration or presentation to help others understand the science behind a Scouting activity or hobby.

Option 2:
1. Plan and complete three science experiments or activities.
2. Find out how one of your experiments or activities links to the real world."
Space,Activity Badges,Activity,Discover what things are out there in our universe and learn how to navigate with the stars. How would you travel through space to make new discoveries? ,Complete ALL 7 requirements,"Complete ALL of the following:
1. 1. Find out what happens to an astronaut's body in space. Learn how the lack of gravity affects their body, and what they do to stay fit.
2. 2. Learn about the speed of light and how we use light years to measure distances in space.
3. 3. Discover how different space technologies have helped us to understand and explore the universe.
4. 4. Find out what a black hole is, how it forms and how we can detect where they are in space.
5. 5. Discover something new about the universe and share it with the group.
6. 6. You can use the stars to find your way. Explore how you can navigate using stars and constellations.
7. 7. Imagine you’re planning an expedition to a distant solar system. Design how you’ll travel there and think about what you will need to take with you."
Sports Enthusiast,Activity Badges,Activity,"If you follow a sport, rather than take part, you can prove your expert knowledge through this badge. You can choose anything from football or basketball to archery, motor racing or water polo.",Complete ALL 6 requirements,"Complete ALL of the following:
1. 1. Explain the rules governing your favourite sport.
2. 2. Describe the levels of achievement within your chosen sport locally, nationally or internationally.
3. 3. Show that you know some of the personalities, champions or other experts in your chosen sport.
4. 4. Talk about the equipment needed for the sport.
5. 5. Describe a recent major event, championship or landmark in the sport.
6. 6. Explain how you follow your sport. How do you keep up to date with developments?"
Street Sports ,Activity Badges,Activity,"Be spontaneous, improvise and show your creativity. Take up the challenge and get involved in a street sport like skateboarding, in-line skating or Parkour.",Complete ALL 5 requirements,"Complete ALL of the following:
1. 1. Take part in a street sport like skateboarding, roller or in-line skating, Parkour or another street sport agreed by your leadership team.
2. 2. Own or use equipment for a street sport.
3. 3. Explain how to care for the equipment used and explain what you should look out for when equipment is nearing the end of its life.
4. 4. Show that you’re skilled in your chosen street sport and show how you’ve improved over three months.
5. 5. Explain the safety rules for your chosen sport including where to undertake street sports safely and responsibly."
Survival Skills,Activity Badges,Activity,Be prepared for the unexpected! Develop your survival skills to be self-reliant in tough conditions and an awareness of natural resources and how to use them.,Complete ALL 9 requirements,"Complete ALL of the following:
1. Show that you know how to give first aid treatment you may need to use while on a survival event, considering you may have limited resources available
2. Show how to construct different kinds of shelter
3. Show how to build a fire and use basic lighting techniques. You should not use man-made materials such as paper or firelighters.
4. Show how to maintain hygiene in a survival situation
5. Show basic knife or multi-tool skills, including safety and sharpening and maintenance
6. Show the correct use of international distress signals, using a whistle, torch, mirror or markers
7. Show some basic actions to take while waiting rescue that will both keep you (and your group) safe and will assist your rescuers in locating you
8. Put together a personal survival kit.
9. With a group of at least three Scouts, take part in a survival exercise"
Water Activities,Activity Badges,Activity,"From scuba diving to water skiing, hit the water and indulge your passion, for a fantastic water activities experience.",Complete ALL 1 requirements,"Complete ALL of the following:
1. Reach one of the required standards"
World Faiths,Activity Badges,Activity,"Discover the true meaning to the world’s different faiths, so you can find common ground in your personal relationships.",Complete ALL 4 requirements,"Complete ALL of the following:
1. One activity from Part 1
2. One activity from Part 2
3. 3. Read a text from a faith that you are not familiar with
4. Find out how following the teachings of a particular faith affects an individual’s daily life"
Writer,Activity Badges,Activity,Develop the craft of storytelling through writing. Reach into your imagination and you could be the next Philip Pullman or Cressida Cowell.,Complete 4 of 10 requirements,"Complete 4 of the following:
1. Compose a poem of at least eight lines. Discuss its meaning and construction.
2. Create a short story of around 600 words.
3. Write a descriptive passage of around 600 words on a subject, agreed with an appropriate adult beforehand.
4. Write a 600-word review of a favourite book, play or other work of literature and talk about it with an appropriate adult.
5. Produce a published article of around 600 words in length.
6. You could contribute to a school, faith, community or Scout magazine or write a letter to a local paper.
7. Keep a diary on a subject, for a length of time agreed with an appropriate adult beforehand.
8. Write a play or dramatic sketch lasting at least 10 minutes.
9. Interview a local celebrity, or other notable person.
10. Write a letter to a pen pal (real or imaginary) of at least 600 words."
Adventure,Challenge Awards,Challenge Award,"Abseil down a mountain! Sail down a river! Hover on a hovercraft! It’s time to embrace four new adventurous activities, and see where they take you",Complete ALL 4 requirements,"Complete ALL of the following:
1. Take part in four different adventurous activities.
2. Show how you have developed your skill and expertise in one of these activities.
3. Learn about any environmental issues caused by your activity.
4. Research other ways you can take part, or develop your skills, in your chosen activities."
Chief Scout's Gold Award,Challenge Awards,Top Award,"This is the highest award a Scout can earn. To complete it, you need to complete all nine of the Challenge Awards, plus six Activity badges",Complete 9 prerequisite badges + 6 activity badges,"PREREQUISITE BADGES (all required):
1. World
2. Adventure
3. Creative
4. Expedition
5. Outdoor
6. Personal
7. Skills
8. Team Leader
9. Teamwork

PLUS 6 Activity or Staged Activity Badges of your choice"
Creative,Challenge Awards,Challenge Award,"Whether you’re trying your hand at web design or mastering an ancient craft like needlework, take your creative skills to the next level and make something extraordinary from scratch.",Complete ALL 6 requirements,"Complete ALL of the following:
1. Over a period of time, take part in at least four creative activities.
2. Show that you have developed your skills in one of these activities.
3. Use your creative ability to produce something that promotes a Scouting activity or an event.
4. Construct a model using materials like a plastic kit or recycled items.
5. Show how to use social media or the internet in a creative and safe way.
6. Take part in a performance."
Expedition,Challenge Awards,Challenge Award,"Are you ready for your next big adventure? Take part in a two-day expedition or exploration, in the UK or abroad",Complete ALL 4 requirements,"Complete ALL of the following:
1. Take part in either an expedition or an exploration over two days with at least three other Scouts.
2. Take an active part in planning the expedition or exploration
3. During the expedition or exploration: Play a full part in the team, Use a map or other navigation device to keep track of where you are, Cook and eat at least one hot meal, Do a task, investigation, or exploration as agreed with your Leader.
4. Produce an individual report or presentation within the three weeks following your expedition or exploration."
Outdoor,Challenge Awards,Challenge Award,Spend eight nights away from home. Cook a meal on camp. Tread new ground. It’s time to find your feet in the great outdoors,Complete ALL 10 mandatory + 4 of 10 optional,"MANDATORY (all required):
1. Take an active part in at least eight nights away as a Scout
2. With others, pitch and strike your tent
3. Lead, or help to lead, a group of Scouts to set up a well-organised site
4. Prepare and light an open fire or set up a suitable stove.
5. Understand the three points of the Countryside Code.
6. Find out why personal and campsite hygiene is important
7. Using knots that you have learned, build a simple pioneering project, object or camp gadget
8. Explore the environment of your camp and make sure you know where everything is.
9. Find out what accidents and incidents can happen outdoors or during your camp.
10. Show how to use an axe, saw or knife safely.

PLUS 4 of the following:
1. Provide a service commitment to the site for about an hour.
2. Take part in a wide game.
3. Take part in a campfire or other entertainment.
4. Working with others, successfully complete a two-hour activity or project.
5. Plan a balanced menu for a short camp.
6. Lead the cooking of a meal for the group.
7. Show how to pack a rucksack correctly, with appropriate kit for the camp or event.
8. Cook a backwoods meal with the group.
9. Build a bivouac and sleep in it.
10. Show that you know the safety precautions for using lamps and stoves."
Personal,Challenge Awards,Challenge Award,Everyone has a different idea of what a challenge looks like. Choose two you'd love to accomplish and dive right in,Complete ALL 2 requirements,"Complete ALL of the following:
1. Challenge 1
2. Challenge 2"
Skills,Challenge Awards,Challenge Award,"Everyone has to start somewhere, and practice makes perfect. Hone your skills over a six-week period, and see how quickly you will soar!",Complete ALL 4 mandatory + 5 of 10 optional,"MANDATORY (all required):
1. Regularly take part in physical activities over a period of four to six weeks.
2. Take part in at least three activities that require a number of problem-solving skills.
3. Show you understand why eating a sensible diet and getting enough sleep is important
4. Do some research so that you can explain the dangers and harmful effects of smoking, alcohol and drugs

PLUS 5 of the following:
1. Mend or customise an item of clothing
2. Cook and serve a two-course meal, for at least four people
3. Fix a puncture or a dropped chain on a bike
4. Wash up after a meal, making sure everything is clean and dry
5. Use a washing machine to wash a load of clothes
6. Iron your uniform shirt
7. Change a lightbulb, in a ceiling light
8. Set a heating timer and thermostat as needed for the time of year
9. Clean a toilet, hob or oven
10. Do another similar home skill"
Team Leader,Challenge Awards,Leadership,Learn how to lead by example and take one for the team!,Complete ALL 4 requirements,"Complete ALL of the following:
1. Successfully lead a Scout team at a camp or all day event.
2. Help a new Scout to be part of the Troop with an understanding of what is expected of them.
3. Help another Scout to develop a Scouting skill.
4. Represent the views of other Scouts."
Teamwork,Challenge Awards,Challenge Award,"Two hands are better than one. Four hands are better than two. Work with your fellow Scouts over a three-month period, and achieve something truly awesome together.",Complete ALL 4 requirements,"Complete ALL of the following:
1. On at least three separate occasions, be part of a Scout team, where you work together to achieve a goal.
2. Give at least three examples of when you’ve been in different types of teams.
3. Take part in at least three team building activities that you have not tried before.
4. Take an active part in at least four Troop or Patrol Forums."
World,Challenge Awards,Challenge Award,"Whether you’re volunteering in your local community or learning about an international issue, this award is all about exploring the world from your doorstep and making a positive impact.",Complete ALL 7 requirements,"Complete ALL of the following:
1. Choose an aspect of local community life and find out as much as you can about it.
2. Spend a day volunteering with and finding out about a service in your local community:
3. Take part in an activity that reflects upon and explores your own beliefs, attitudes and values (this may or may not include religious beliefs).
4. Take part in an activity that explores common beliefs and attitudes towards gender or disability in different societies
5. Take an active part in an environmental project.
6. Investigate and try to make contact with Scouts in another country.
7. Take part in an activity that explores an international issue."
Assistant Patrol Leader,Core Badges,Leadership,"In their Troop, Scouts join a Patrol - a smaller group led by a Patrol Leader and Assistant Patrol Leader. These older Scouts handle leadership duties like welcoming newcomers and running activities. Some Troops also have Senior Patrol Leaders with extra responsibilities. All leaders wear distinctive stripes to show their roles.",Manually awarded,No formal requirements - awarded by leader discretion
Earth Tribe Award - Scouts,Core Badges,Earth Tribe,,Choose 1 of 3 options,"Choose 1 of the following options:

Champions for Nature:
1. Identify the need
2. Plan action
3. Take action
4. Learn and make more change
5. Tell the world

Go Solar:
1. Identify the need
2. Plan action
3. Take action
4. Learn and make more change
5. Tell the world

Tide Turners:
1. Identify the need
2. Plan action
3. Take action
4. Learn and make more change
5. Tell the world"
Membership Badge - Scouts,Core Badges,Activity,"Once you've made your Promise, you'll earn your Membership Award, featuring an image of the fleur de lis. This is the international Scout symbol, worn by Scouts all over the world.",Complete ALL 3 requirements,"Complete ALL of the following:
1. Know about the Scout Troop
2. Know about joining your Troop
3. Become a Scout by making the Promise"
Moving On,Core Badges,Moving On,"Eventually, it'll be time to embrace your next adventure. Explorers awaits.",Manually awarded,No formal requirements - awarded by leader discretion
Patrol Leader,Core Badges,Leadership,"In their Troop, Scouts join a Patrol - a smaller group led by a Patrol Leader and Assistant Patrol Leader. These older Scouts handle leadership duties like welcoming newcomers and running activities. Some Troops also have Senior Patrol Leaders with extra responsibilities. All leaders wear distinctive stripes to show their roles.",Manually awarded,No formal requirements - awarded by leader discretion
Senior Patrol Leader,Core Badges,Leadership,"In their Troop, Scouts join a Patrol - a smaller group led by a Patrol Leader and Assistant Patrol Leader. These older Scouts handle leadership duties like welcoming newcomers and running activities. Some Troops also have Senior Patrol Leaders with extra responsibilities. All leaders wear distinctive stripes to show their roles.",Manually awarded,No formal requirements - awarded by leader discretion
The YouShape Award - Central Badge,Core Badges,YouShape,"This badge is all about thinking about what you want to achieve, setting a goal and making it happen. Complete at least one of the following requirements.",Complete ALL 1 requirements,"Complete ALL of the following:
1. Choose one thing you’d like to change, improve or deliver for young people in your Troop or section, and make it happen. This could be learning or teaching a new skill, developing your current talents or interests, or changing something about Scouts."
The YouShape Award - Lead,Core Badges,YouShape,"Now it's time to take the lead – think supporting others, delivering your programme and nights away. Complete at least one of the following requirements.",Complete 1 of 4 requirements,"Complete 1 of the following:
1. Lead a session that shows older Cubs the best of Scouts.
2. Lead a session for your Troop.
3. Lead a Troop Forum for your section.
4. Lead a one night camp with no adult volunteers. You’ll need a Nights Away Events Passport."
The YouShape Award - Plan,Core Badges,YouShape,"This badge is all about thinking creatively, working together and planning some exciting activities for your programme.",Complete 1 of 4 requirements,"Complete 1 of the following:
1. Plan an event for your Scout group.
2. Think of an idea that’ll help your Troop achieve a badge and share it in a Troop Forum.
3. Plan a term of activities with your leader.
4. Create a series of activities that help other Scouts to achieve a badge."
The YouShape Award - Represent,Core Badges,YouShape,"Think about how you’ll represent your group – you could engage your community, invite some friends to join the fun or chat to your Trustee Boards.  Complete at least one of the following requirements.",Complete 1 of 4 requirements,"Complete 1 of the following:
1. Talk with your Group or District Trustee Board about how Scouts could be improved in your group or District.
2. Lead a Scouts activity for young people who aren’t involved in Scouts.
3. Take part in a project with young people from across your group that uses skills you’ve learned at Scouts to help people in your community.
4. Plan and deliver a Scouts activity for a local decision maker to take part in and show them why they should support Scouts in your area."
