Badge Name,Category,Type,Description,Completion Rules,Requirements
Sailing - Stage 2,Staged Activity Badges,Staged Activity,,Choose 1 of 2 options,"Choose 1 of the following options:

Option 1:
1. Launch and recover your dinghy.
2. Control the direction and speed of your dinghy to steer around a course.
3. Stop your dinghy safely.
4. Capsize and get to the shore safely, and recover the dinghy.
5. Show you can moor your dinghy.

Option 2:
1. Complete the RYA Youth Sailing Scheme Stage 2."
Sailing - Stage 3,Staged Activity Badges,Staged Activity,,Choose 1 of 3 options,"Choose 1 of the following options:

Option 1:
1. Prepare, launch and recover your boat in an onshore wind.
2. Show the correct way to store your boat ashore.
3. Show you can right a capsized dinghy as helm or crew.
4. Show you know how to recover a man overboard.
5. Demonstrate ability in the following: Sail setting, Balance, Trim, Course made good, Centreboard, Taking upwind, Gybing from a training run, Coming alongside a moored boat, Picking up a mooring
6. Learn how a sail works and its basic aerodynamics.
7. When sailing, show you can understand and use basic terminology, such as windward, leeward, and bear away.

Option 2:
1. Gain a Personal Activity Permit for Dinghy Sailing.

Option 3:
1. Complete the RYA Youth Sailing Scheme Stage 3."
Sailing - Stage 4,Staged Activity Badges,Staged Activity,,Choose 1 of 2 options,"Choose 1 of the following options:

Option 1:
1. Launch and recover your boat in any wind direction.
2. Set up your boat according to weather conditions, using sail and rig controls.
3. Show that you’re able to recover a man overboard.
4. Show that you know about: International Regulations for Preventing Collision at Sea (IRPCS). Beaufort Scale, Synoptic charts, Tidal ebb and flow, Spring and neap tides

Option 2:
1. Complete the RYA Youth Sailing Scheme Stage 4."
Snowports - Stage 1,Staged Activity Badges,Staged Activity,,Complete ALL 5 requirements,"Complete ALL of the following:
1. Identify different types of snowsports.
2. Name three places you could safely take part in snowsport activities.
3. Take part in a warm-up activity to prepare you for a snowsport activity such as skiing or snowboarding.
4. Dress properly for your chosen activity.
5. Take part in a taster session that covers: Naming equipment used, How to get in and out of your skis or snowboard, Balancing on your skis or snowboard, Moving around on your skis or snowboard"
Snowports - Stage 2,Staged Activity Badges,Staged Activity,,Complete ALL 5 mandatory + 1 of 2 optional,"MANDATORY (all required):
1. Identify the equipment you require and know how to carry it safely.
2. Climb and then ski or snowboard down a short run, or go on a short cross country ski.
3. Show you can make wide and narrow turns.
4. Show you can stop and wait safely on a run avoiding other users of the slope, or stop safely if doing cross county skiing.
5. Know how to safely fall and get back up onto your feet.

PLUS 1 of the following:
1. Demonstrate how to safely use a drag lift or magic carpet for downhill skiing or snowboarding.
2. Demonstrate your ability to identify a suitable cross country skiing route."
Snowports - Stage 3,Staged Activity Badges,Staged Activity,,Choose 1 of 2 options,"Choose 1 of the following options:

Option 1:
1. Identify hazards of the mountain environment.
2. Show you understand what to do in the event of an accident.
3. Show you know and understand the ‘Ski Way Code’ published by the International Ski Federation (The F.I.S.)
4. Understand the effects of extreme temperature in cases of frostbite, hypothermia, sunstroke, heat exhaustion and dehydration. Explain how they are avoided and treated.
5. Choose and complete two of the following: Demonstrate a sequence of 10 linked turns, Complete a free run down a moderate to hard slope (red) showing balance, control, good choice of line and awareness of other people on the slope, Complete a 3km cross country ski route on a prepared track ,Complete a 500m cross country ski route on varied terrain

Option 2:
1. Gain a Personal Activity Permit for Snowsports."
Snowports - Stage 4,Staged Activity Badges,Staged Activity,,Complete ALL 6 requirements,"Complete ALL of the following:
1. Show you understand what equipment to carry for the different two types of activity
2. Show how to look after yourself and others in the event of not being able to return down the mountain, or being stranded on a route.
3. Show your ability to use a ski map or resort map and identify where you are on the map.
4. Plan a half-day's activity
5. Participate in a snowsport activity different from that which the other requirements have been completed in.
6. Choose and complete two of the following: Demonstrate your ability to safely descend a black run, Perform a sequence of turns in fresh snow, leaving even tracks behind, Complete a day’s cross country ski trip, planning your route before you go, Complete a cross-country timed route and then improve your time over a two further attempts"
Swimmer - Stage 1,Staged Activity Badges,Staged Activity,,Complete ALL 8 requirements,"Complete ALL of the following:
1. Staying safe near water is very important. Learn how you can stay safe while being in or around water.
2. Warming up before swimming helps you move better in the water. Discover ways to stretch your body as part of your warm up before getting in.
3. It’s time to get in and have a splash around. Learn how to get safely in and out of the water, with support if needed.
4. Swimming can mean that you need to have your head under the water. Take part in an activity to help you build your confidence in getting your hair wet.
5. Moving away from the wall can help you feel more confident in the water. Push away from the wall on either your front or back, then glide further into the middle of the pool.
6. Floating in the water can help you stay safe, but is also lots of fun. Float on your back or front, with or without support.
7. Moving through the water helps you get to different places. Swim at least 5 metres with or without support from a float.
8. Being in the water helps build your confidence but is also good fun. Play a game in the water with your friends and practice the skills you've learned."
Swimmer - Stage 2,Staged Activity Badges,Staged Activity,,Complete ALL 9 requirements,"Complete ALL of the following:
1. Learn about where to swim safely in different locations and find out some safety rules for a swimming pool.
2. Take part in a warm up before getting in the pool.
3. Demonstrate how to get in and out of the water safely without support.
4. Swim 10 metres on your front, with or without support.
5. Swim 10 metres on your back, with or without support.
6. Perform a log roll of at least 180 degrees in the water, either on your front or on your back.
7. Demonstrate a push and glide into the middle of the pool on both your front and your back.
8. Starting from the side of the pool, retrieve a floating object with your face submerged in the water.
9. Float on your front and then your back, holding each float for at least 5 seconds."
Swimmer - Stage 3,Staged Activity Badges,Staged Activity,,Complete ALL 10 requirements,"Complete ALL of the following:
1. Learn about where to swim safely in different locations and find out about the four key water safety messages.
2. Take part in a warm up before getting in the pool.
3. Demonstrate how to get in and out of the water safely without support.
4. Tread water for 15 seconds.
5. Swim 15 metres on your front without support.
6. Swim 15 metres on your back without support.
7. Swim 25 metres in a stroke of your choice, with or without support.
8. Show a push and glide movement into a swim, then swim for 5 metres.
9. From a floating position, move into a standing position without support. Do this on both your front and back.
10. Pick up an object from the floor of the pool."
Swimmer - Stage 4,Staged Activity Badges,Staged Activity,,Complete ALL 11 requirements,"Complete ALL of the following:
1. Learn about where to swim safely in different locations and find out about rescue equipment.
2. Take part in a warm up before getting in the pool.
3. Demonstrate how to get in and out of the water safely using two different methods of entry.
4. Swim confidently on your front for 25 metres without stopping.
5. Swim confidently on your back for 25 metres without stopping.
6. Swim 25 metres using either the breaststroke or butterfly swimming techniques.
7. Demonstrate the breaststroke leg movements whilst holding onto the side of the pool.
8. Swim 100 metres in a stroke of your choice.
9. Tread water for 30 seconds.
10. Swim in clothes for 10 metres.
11. Scull for 5 metres on your front or your back."
Swimmer - Stage 5,Staged Activity Badges,Staged Activity,,Complete ALL 12 requirements,"Complete ALL of the following:
1. Learn about where to swim safely in different locations and find out about rescue equipment.
2. Take part in a warm up before getting in the pool.
3. Demonstrate how to get in and out of the water safely using a variety of different methods of entry.
4. Swim confidently on your front for 50 metres without stopping.
5. Swim confidently on your back for 50 metres without stopping.
6. Swim breaststroke or butterfly for 50 metres.
7. Swim 200 metres in a stroke of your choice.
8. Swim in clothes for 25 metres.
9. Perform 3 different sculling techniques during a swim.
10. Tread water with one hand above the water to attract attention.
11. Demonstrate one diving technique into the pool followed by a 25 metre swim.
12. Learn about different rescues and perform one of them."
Time on Water - 1,Staged Activity Badges,Staged Activity,,Complete 1 time on water,Complete 1 time on water to earn this badge.
Time on Water - 10,Staged Activity Badges,Staged Activity,,Complete 10 time on water,Complete 10 time on water to earn this badge.
Time on Water - 15,Staged Activity Badges,Staged Activity,,Complete 15 time on water,Complete 15 time on water to earn this badge.
Time on Water - 2,Staged Activity Badges,Staged Activity,,Complete 2 time on water,Complete 2 time on water to earn this badge.
Time on Water - 20,Staged Activity Badges,Staged Activity,,Complete 20 time on water,Complete 20 time on water to earn this badge.
Time on Water - 35,Staged Activity Badges,Staged Activity,,Complete 35 time on water,Complete 35 time on water to earn this badge.
Time on Water - 5,Staged Activity Badges,Staged Activity,,Complete 5 time on water,Complete 5 time on water to earn this badge.
Time on Water - 50,Staged Activity Badges,Staged Activity,,Complete 50 time on water,Complete 50 time on water to earn this badge.
